county_code,district_code,school_code,filler,test_year,subgroup_id,test_type,total_caaspp_enrollment,total_tested_at_entity_level,total_tested_at_subgroup_level,grade,test_id,caaspp_reported_enrollment,students_tested,percent_tested,mean_scale_score,percentage_standard_exceeded,percentage_standard_met,percentage_standard_met_and_above,percentage_standard_nearly_met,percentage_standard_not_met,students_with_scores,area_1_percentage_above_standard,area_1_percentage_at_or_near_standard,area_1_percentage_below_standard,area_2_percentage_above_standard,area_2_percentage_at_or_near_standard,area_2_percentage_below_standard,area_3_percentage_above_standard,area_3_percentage_at_or_near_standard,area_3_percentage_below_standard,area_4_percentage_above_standard,area_4_percentage_at_or_near_standard,area_4_percentage_below_standard,state_id
1,"","",,2015,1,B,134777,130909,130909,3,2,17687,17296,97.8,2432.6,23,26,49,23,28,17290,34,32,34,29,40,30,28,49,22,0,0,0,01000000000000
1,"","",,2015,1,B,134777,130909,130909,3,1,17687,17122,96.8,2417.8,24,21,45,23,32,17113,25,40,36,23,43,33,20,59,21,23,49,28,01000000000000
1,"","",,2015,1,B,134777,130909,130909,4,1,17437,17004,97.5,2462.5,27,21,47,19,34,17001,24,42,34,25,44,30,20,59,21,22,47,26,01000000000000
1,"","",,2015,1,B,134777,130909,130909,4,2,17437,17110,98.1,2473.8,22,24,45,29,26,17105,31,30,39,26,43,31,27,39,33,0,0,0,01000000000000
1,"","",,2015,1,B,134777,130909,130909,5,2,17365,16757,96.5,2508.6,27,17,44,25,32,16751,32,28,40,26,37,37,24,43,32,0,0,0,01000000000000
1,"","",,2015,1,B,134777,130909,130909,5,1,17365,16639,95.8,2507.5,26,28,54,18,28,16635,27,40,32,32,39,28,21,59,21,35,48,17,01000000000000
1,"","",,2015,1,B,134777,130909,130909,6,1,17089,16475,96.4,2528.0,20,30,50,25,25,16458,22,44,34,28,43,28,17,65,17,29,54,16,01000000000000
1,"","",,2015,1,B,134777,130909,130909,6,2,17089,16636,97.3,2526.1,24,18,43,27,31,16621,29,31,40,24,44,32,24,47,28,0,0,0,01000000000000
1,"","",,2015,1,B,134777,130909,130909,7,2,16462,15992,97.1,2546.4,25,20,44,25,30,15981,32,30,37,27,44,29,27,58,15,0,0,0,01000000000000
1,"","",,2015,1,B,134777,130909,130909,7,1,16462,15776,95.8,2552.1,19,33,52,21,26,15766,24,43,32,33,42,24,17,62,20,29,49,21,01000000000000
1,"","",,2015,1,B,134777,130909,130909,8,1,16509,15487,93.8,2571.5,19,34,53,25,22,15482,29,43,27,30,46,24,17,63,19,28,51,20,01000000000000
1,"","",,2015,1,B,134777,130909,130909,8,2,16509,15795,95.7,2562.5,27,16,43,22,34,15785,32,29,39,27,46,26,27,46,27,0,0,0,01000000000000
1,"","",,2015,1,B,134777,130909,130909,11,2,15793,13918,88.1,2588.8,20,19,40,22,38,13889,30,29,40,22,46,31,23,52,24,0,0,0,01000000000000
1,"","",,2015,1,B,134777,130909,130909,11,1,15793,13925,88.2,2609.1,31,30,61,20,18,13861,37,44,18,40,38,20,23,58,18,38,45,14,01000000000000
1,"","",,2015,1,B,134777,130909,130909,13,1,118342,112428,95.0,"",24,28,52,22,27,112316,27,42,31,30,42,27,19,61,20,29,49,20,01000000000000
1,"","",,2015,1,B,134777,130909,130909,13,2,118342,113504,95.9,"",24,20,44,25,31,113422,31,30,39,26,43,31,26,48,26,0,0,0,01000000000000
1,"","",,2015,3,B,134777,130909,67032,3,2,17687,8768,49.6,2433.7,24,26,50,22,28,8763,35,31,34,31,40,30,28,48,23,0,0,0,01000000000000
1,"","",,2015,3,B,134777,130909,67032,3,1,17687,8673,49.0,2408.1,21,20,41,23,36,8667,22,39,40,19,43,38,19,58,24,21,47,32,01000000000000
1,"","",,2015,3,B,134777,130909,67032,4,1,17437,8776,50.3,2453.1,24,20,44,19,38,8775,22,41,37,21,44,35,20,57,22,20,47,28,01000000000000
1,"","",,2015,3,B,134777,130909,67032,4,2,17437,8839,50.7,2475.2,23,23,46,28,26,8836,33,28,38,27,42,31,28,39,33,0,0,0,01000000000000
1,"","",,2015,3,B,134777,130909,67032,5,2,17365,8509,49.0,2508.4,28,17,45,23,32,8505,33,27,40,26,37,37,25,42,33,0,0,0,01000000000000
1,"","",,2015,3,B,134777,130909,67032,5,1,17365,8451,48.7,2494.6,22,27,49,18,33,8447,24,39,37,27,39,34,19,59,22,32,49,19,01000000000000
1,"","",,2015,3,B,134777,130909,67032,6,1,17089,8286,48.5,2514.8,17,28,45,25,30,8273,20,42,37,23,43,33,16,64,20,25,55,19,01000000000000
1,"","",,2015,3,B,134777,130909,67032,6,2,17089,8362,48.9,2522.5,24,18,42,26,32,8352,29,30,41,24,43,33,24,46,30,0,0,0,01000000000000
1,"","",,2015,3,B,134777,130909,67032,7,2,16462,8168,49.6,2543.3,25,19,44,25,32,8161,32,29,39,27,43,29,26,57,17,0,0,0,01000000000000
1,"","",,2015,3,B,134777,130909,67032,7,1,16462,8062,49.0,2538.4,16,31,47,22,31,8057,22,42,36,28,42,29,16,61,22,26,48,25,01000000000000
1,"","",,2015,3,B,134777,130909,67032,8,1,16509,8002,48.5,2556.7,16,32,48,25,27,7999,26,42,32,25,46,29,16,61,23,24,51,24,01000000000000
1,"","",,2015,3,B,134777,130909,67032,8,2,16509,8143,49.3,2558.3,27,16,43,21,36,8138,32,28,41,27,45,27,26,45,29,0,0,0,01000000000000
1,"","",,2015,3,B,134777,130909,67032,11,2,15793,7160,45.3,2584.9,21,18,39,20,41,7143,30,27,43,24,44,31,24,49,26,0,0,0,01000000000000
1,"","",,2015,3,B,134777,130909,67032,11,1,15793,7126,45.1,2596.4,28,30,57,20,22,7087,35,44,20,35,38,25,22,56,21,35,46,17,01000000000000
1,"","",,2015,3,B,134777,130909,67032,13,1,118342,57376,48.5,"",20,26,47,22,31,57305,24,41,34,25,42,32,18,60,22,26,49,24,01000000000000
1,"","",,2015,3,B,134777,130909,67032,13,2,118342,57949,49.0,"",25,20,44,24,32,57898,32,28,39,27,42,31,26,47,27,0,0,0,01000000000000
1,"","",,2015,4,B,134777,130909,63877,3,1,17687,8449,47.8,2427.7,28,22,49,23,28,8446,28,40,32,27,44,29,22,60,18,25,50,25,01000000000000
1,"","",,2015,4,B,134777,130909,63877,3,2,17687,8528,48.2,2431.3,22,26,48,24,28,8527,32,33,35,28,41,31,28,50,21,0,0,0,01000000000000
1,"","",,2015,4,B,134777,130909,63877,4,2,17437,8271,47.4,2472.2,20,24,44,30,25,8269,29,31,40,24,45,31,26,40,33,0,0,0,01000000000000
1,"","",,2015,4,B,134777,130909,63877,4,1,17437,8228,47.2,2472.6,29,21,51,19,30,8226,27,43,30,29,45,26,21,60,19,25,48,23,01000000000000
1,"","",,2015,4,B,134777,130909,63877,5,1,17365,8188,47.2,2520.8,30,29,59,18,23,8188,31,41,28,38,39,23,22,58,20,38,47,14,01000000000000
1,"","",,2015,4,B,134777,130909,63877,5,2,17365,8248,47.5,2508.8,26,17,43,26,31,8246,31,29,40,26,38,37,24,44,32,0,0,0,01000000000000
1,"","",,2015,4,B,134777,130909,63877,6,2,17089,8274,48.4,2529.7,25,19,43,28,29,8269,29,32,39,23,45,31,25,48,27,0,0,0,01000000000000
1,"","",,2015,4,B,134777,130909,63877,6,1,17089,8189,47.9,2541.4,24,31,55,24,20,8185,25,45,30,34,43,23,19,66,14,33,53,14,01000000000000
1,"","",,2015,4,B,134777,130909,63877,7,1,16462,7714,46.9,2566.4,23,35,58,21,21,7709,27,45,28,39,41,19,18,63,18,33,50,16,01000000000000
