county_code,district_code,school_code,filler,test_year,subgroup_id,test_type,total_caaspp_enrollment,total_tested_at_entity_level,total_tested_at_subgroup_level,grade,test_id,caaspp_reported_enrollment,students_tested,percent_tested,mean_scale_score,percentage_standard_exceeded,percentage_standard_met,percentage_standard_met_and_above,percentage_standard_nearly_met,percentage_standard_not_met,students_with_scores,area_1_percentage_above_standard,area_1_percentage_at_or_near_standard,area_1_percentage_below_standard,area_2_percentage_above_standard,area_2_percentage_at_or_near_standard,area_2_percentage_below_standard,area_3_percentage_above_standard,area_3_percentage_at_or_near_standard,area_3_percentage_below_standard,area_4_percentage_above_standard,area_4_percentage_at_or_near_standard,area_4_percentage_below_standard,state_id
"","","",,2015,1,B,3743493,3663369,3663369,3,1,480079,470191,97.9,2402.9,18,20,38,26,36,469950,18,41,41,17,44,38,14,62,24,18,50,32,00000000000000
"","","",,2015,1,B,3743493,3663369,3663369,3,2,480079,473136,98.6,2415.1,14,26,40,27,33,472930,25,35,40,20,42,38,20,52,28,0,0,0,00000000000000
"","","",,2015,1,B,3743493,3663369,3663369,4,2,469688,461875,98.3,2453.8,13,22,35,35,31,461681,21,32,47,16,45,39,18,43,39,0,0,0,00000000000000
"","","",,2015,1,B,3743493,3663369,3663369,4,1,469688,460192,98.0,2445.7,19,21,40,21,39,459931,18,43,39,18,46,35,15,62,23,17,48,29,00000000000000
"","","",,2015,1,B,3743493,3663369,3663369,5,1,472972,458127,96.9,2487.1,17,27,45,21,34,457770,20,42,39,23,43,33,15,61,24,27,52,21,00000000000000
"","","",,2015,1,B,3743493,3663369,3663369,5,2,472972,459918,97.2,2480.3,15,15,30,29,41,459633,19,30,51,16,38,46,14,45,41,0,0,0,00000000000000
"","","",,2015,1,B,3743493,3663369,3663369,6,2,463721,456194,98.4,2504.4,15,18,33,31,36,455961,20,33,47,15,46,39,16,50,34,0,0,0,00000000000000
"","","",,2015,1,B,3743493,3663369,3663369,6,1,463721,453581,97.8,2511.9,13,30,43,29,28,453219,16,46,38,20,47,32,13,67,19,23,59,19,00000000000000
"","","",,2015,1,B,3743493,3663369,3663369,7,1,458861,446784,97.4,2531.7,12,32,44,25,31,446371,18,45,37,24,46,30,12,64,24,22,53,25,00000000000000
"","","",,2015,1,B,3743493,3663369,3663369,7,2,458861,449122,97.9,2518.5,15,19,34,29,37,448835,22,33,46,17,48,34,17,64,19,0,0,0,00000000000000
"","","",,2015,1,B,3743493,3663369,3663369,8,2,468128,450101,96.1,2534.0,16,17,33,26,41,449775,21,32,46,18,51,31,17,49,33,0,0,0,00000000000000
"","","",,2015,1,B,3743493,3663369,3663369,8,1,468128,445851,95.2,2552.7,12,33,45,29,26,445257,22,46,32,21,50,28,12,65,22,21,55,23,00000000000000
"","","",,2015,1,B,3743493,3663369,3663369,11,1,455953,419737,92.1,2591.9,23,33,56,24,20,418802,30,49,21,31,45,22,17,61,21,33,51,16,00000000000000
"","","",,2015,1,B,3743493,3663369,3663369,11,2,455953,418893,91.9,2560.3,11,18,30,25,45,418179,19,33,48,15,50,35,15,55,30,0,0,0,00000000000000
"","","",,2015,1,B,3743493,3663369,3663369,13,2,3269379,3169239,96.9,"",14,19,34,29,38,3166994,21,32,46,17,46,38,17,51,32,0,0,0,00000000000000
"","","",,2015,1,B,3743493,3663369,3663369,13,1,3269379,3154463,96.5,"",16,28,44,25,31,3151300,20,44,35,22,46,31,14,63,22,23,53,24,00000000000000
"","","",,2015,3,B,3743493,3663369,1870617,3,2,480079,241884,50.4,2415.3,15,26,41,26,33,241768,26,34,39,21,42,37,20,51,29,0,0,0,00000000000000
"","","",,2015,3,B,3743493,3663369,1870617,3,1,480079,240260,50.0,2393.4,15,18,34,26,41,240132,16,39,45,14,43,43,13,60,26,16,49,35,00000000000000
"","","",,2015,3,B,3743493,3663369,1870617,4,2,469688,235211,50.1,2454.2,14,22,36,33,31,235105,23,31,46,17,44,39,19,42,39,0,0,0,00000000000000
"","","",,2015,3,B,3743493,3663369,1870617,4,1,469688,234371,49.9,2435.1,16,19,35,21,44,234226,16,41,43,15,45,41,14,60,25,15,47,32,00000000000000
"","","",,2015,3,B,3743493,3663369,1870617,5,1,472972,233885,49.5,2473.7,14,25,39,21,39,233698,16,40,44,18,41,40,14,60,26,23,52,24,00000000000000
"","","",,2015,3,B,3743493,3663369,1870617,5,2,472972,234796,49.6,2479.8,16,16,31,27,41,234627,21,29,51,16,37,47,14,44,42,0,0,0,00000000000000
"","","",,2015,3,B,3743493,3663369,1870617,6,2,463721,232831,50.2,2500.0,15,17,32,30,38,232693,20,31,49,15,45,40,16,48,36,0,0,0,00000000000000
